epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202145,2021-11-13,553,SE,Amparo de São Francisco,2800100,city,256,10756.30252,0,5,0,0.0195,2380,False,True
202145,2021-11-13,565,SE,Aquidabã,2800209,city,2409,11111.11111,0,40,0,0.0166,21681,False,True
202145,2021-11-13,610,SE,Aracaju,2800308,city,127885,19233.48794,0,2414,0,0.0189,664908,False,True
202145,2021-11-13,561,SE,Arauá,2800407,city,1292,12988.84086,0,22,0,0.017,9947,False,True
202145,2021-11-13,566,SE,Areia Branca,2800506,city,2104,11259.76667,0,48,0,0.0228,18686,False,True
202145,2021-11-13,568,SE,Barra dos Coqueiros,2800605,city,7057,22816.03621,0,99,0,0.014,30930,False,True
202145,2021-11-13,562,SE,Boquim,2800670,city,2690,10000.37176,0,68,0,0.0253,26899,False,True
202145,2021-11-13,545,SE,Brejo Grande,2800704,city,461,5518.97522,0,13,0,0.0282,8353,False,True
202145,2021-11-13,561,SE,Campo do Brito,2801009,city,2202,12086.94698,0,29,0,0.0132,18218,False,True
202145,2021-11-13,543,SE,Canhoba,2801108,city,352,8786.81977,0,7,0,0.0199,4006,False,True
202145,2021-11-13,566,SE,Canindé de São Francisco,2801207,city,2514,8269.19282,0,48,0,0.0191,30402,False,True
202145,2021-11-13,591,SE,Capela,2801306,city,3424,9920.61193,0,45,0,0.0131,34514,False,True
202145,2021-11-13,563,SE,Carira,2801405,city,2235,10049.91232,0,48,0,0.0215,22239,False,True
202145,2021-11-13,554,SE,Carmópolis,2801504,city,1079,6370.66777,0,40,0,0.0371,16937,False,True
202145,2021-11-13,560,SE,Cedro de São João,2801603,city,1034,17486.89329,0,20,0,0.0193,5913,False,True
202145,2021-11-13,567,SE,Cristinápolis,2801702,city,608,3372.34456,0,31,0,0.051,18029,False,True
202145,2021-11-13,542,SE,Cumbe,2801900,city,315,7878.93947,0,4,0,0.0127,3998,False,True
202145,2021-11-13,561,SE,Divina Pastora,2802007,city,855,16395.01438,0,12,0,0.014,5215,False,True
202145,2021-11-13,574,SE,Estância,2802106,city,7653,11002.64535,0,174,0,0.0227,69556,False,True
202145,2021-11-13,547,SE,Feira Nova,2802205,city,246,4392.07284,0,7,0,0.0285,5601,False,True
202145,2021-11-13,562,SE,Frei Paulo,2802304,city,1713,11011.82823,0,35,0,0.0204,15556,False,True
202145,2021-11-13,554,SE,Gararu,2802403,city,670,5775.36419,0,16,0,0.0239,11601,False,True
