data,codigo_municipio,city,casos_confirmados_total,casos_confirmados_diarios,obitos_confirmados_total,obitos_confirmados_diarios,casos_media_movel,obitos_media_movel
2020-05-10,2800100,Amparo de São Francisco,1,1,0,0,,
2020-05-11,2800100,Amparo de São Francisco,1,0,0,0,,
2020-05-12,2800100,Amparo de São Francisco,1,0,0,0,,
2020-05-13,2800100,Amparo de São Francisco,2,1,0,0,,
2020-05-14,2800100,Amparo de São Francisco,2,0,0,0,,
2020-05-15,2800100,Amparo de São Francisco,2,0,0,0,,
2020-05-16,2800100,Amparo de São Francisco,2,0,0,0,0.2857142857142857,0.0
2020-05-17,2800100,Amparo de São Francisco,2,0,0,0,0.14285714285714285,0.0
2020-05-18,2800100,Amparo de São Francisco,2,0,0,0,0.14285714285714285,0.0
2020-05-19,2800100,Amparo de São Francisco,2,0,0,0,0.14285714285714285,0.0
2020-05-20,2800100,Amparo de São Francisco,2,0,0,0,0.0,0.0
2020-05-21,2800100,Amparo de São Francisco,4,2,0,0,0.2857142857142857,0.0
2020-05-22,2800100,Amparo de São Francisco,4,0,0,0,0.2857142857142857,0.0
2020-05-23,2800100,Amparo de São Francisco,4,0,0,0,0.2857142857142857,0.0
2020-05-24,2800100,Amparo de São Francisco,4,0,0,0,0.2857142857142857,0.0
2020-05-25,2800100,Amparo de São Francisco,4,0,0,0,0.2857142857142857,0.0
2020-05-26,2800100,Amparo de São Francisco,4,0,0,0,0.2857142857142857,0.0
2020-05-27,2800100,Amparo de São Francisco,4,0,0,0,0.2857142857142857,0.0
2020-05-28,2800100,Amparo de São Francisco,4,0,0,0,0.0,0.0
2020-05-29,2800100,Amparo de São Francisco,4,0,0,0,0.0,0.0
2020-05-30,2800100,Amparo de São Francisco,6,2,0,0,0.2857142857142857,0.0
2020-05-31,2800100,Amparo de São Francisco,6,0,0,0,0.2857142857142857,0.0
2020-06-01,2800100,Amparo de São Francisco,6,0,0,0,0.2857142857142857,0.0
2020-06-02,2800100,Amparo de São Francisco,6,0,0,0,0.2857142857142857,0.0
2020-06-03,2800100,Amparo de São Francisco,6,0,0,0,0.2857142857142857,0.0
2020-06-04,2800100,Amparo de São Francisco,6,0,0,0,0.2857142857142857,0.0
2020-06-05,2800100,Amparo de São Francisco,6,0,0,0,0.2857142857142857,0.0
2020-06-06,2800100,Amparo de São Francisco,6,0,0,0,0.0,0.0
2020-06-07,2800100,Amparo de São Francisco,6,0,0,0,0.0,0.0
2020-06-08,2800100,Amparo de São Francisco,6,0,0,0,0.0,0.0
