data,semana_epidemiologica,total_casos_confirmados,total_obitos_confirmados,diario_casos_confirmados,diario_obitos_confirmados,media_movel7_casos,media_movel7_obitos
2020-03-14,202011,1,0,1,0,,
2020-03-15,202012,1,0,0,0,,
2020-03-16,202012,5,0,4,0,,
2020-03-17,202012,5,0,0,0,,
2020-03-18,202012,6,0,1,0,,
2020-03-19,202012,6,0,0,0,,
2020-03-20,202012,7,0,1,0,1.0,0.0
2020-03-21,202012,10,0,3,0,1.2857142857142858,0.0
2020-03-22,202013,10,0,0,0,1.2857142857142858,0.0
2020-03-23,202013,10,0,0,0,0.7142857142857143,0.0
2020-03-24,202013,15,0,5,0,1.4285714285714286,0.0
2020-03-25,202013,16,0,1,0,1.4285714285714286,0.0
2020-03-26,202013,16,0,0,0,1.4285714285714286,0.0
2020-03-27,202013,16,0,0,0,1.2857142857142858,0.0
2020-03-28,202013,16,0,0,0,0.8571428571428571,0.0
2020-03-29,202014,16,0,0,0,0.8571428571428571,0.0
2020-03-30,202014,18,0,2,0,1.1428571428571428,0.0
2020-03-31,202014,19,0,1,0,0.5714285714285714,0.0
2020-04-01,202014,22,0,3,0,0.8571428571428571,0.0
2020-04-02,202014,24,2,2,2,1.1428571428571428,0.2857142857142857
2020-04-03,202014,27,2,3,0,1.5714285714285714,0.2857142857142857
2020-04-04,202014,32,3,5,1,2.2857142857142856,0.42857142857142855
2020-04-05,202015,32,3,0,0,2.2857142857142856,0.42857142857142855
2020-04-06,202015,32,4,0,1,2.0,0.5714285714285714
2020-04-07,202015,36,4,4,0,2.4285714285714284,0.5714285714285714
2020-04-08,202015,39,4,3,0,2.4285714285714284,0.5714285714285714
2020-04-09,202015,40,4,1,0,2.2857142857142856,0.2857142857142857
2020-04-10,202015,42,4,2,0,2.142857142857143,0.2857142857142857
2020-04-11,202015,44,4,2,0,1.7142857142857142,0.14285714285714285
2020-04-12,202016,44,4,0,0,1.7142857142857142,0.14285714285714285
2020-04-13,202016,45,4,1,0,1.8571428571428572,0.0
2020-04-14,202016,46,4,1,0,1.4285714285714286,0.0
2020-04-15,202016,48,4,2,0,1.2857142857142858,0.0
2020-04-16,202016,53,4,5,0,1.8571428571428572,0.0
2020-04-17,202016,58,4,5,0,2.2857142857142856,0.0
2020-04-18,202016,71,5,13,1,3.857142857142857,0.14285714285714285
2020-04-19,202017,86,5,15,0,6.0,0.14285714285714285
2020-04-20,202017,92,5,6,0,6.714285714285714,0.14285714285714285
2020-04-21,202017,117,7,25,2,10.142857142857142,0.42857142857142855
2020-04-22,202017,118,7,1,0,10.0,0.42857142857142855
2020-04-23,202017,135,8,17,1,11.714285714285714,0.5714285714285714
2020-04-24,202017,145,8,10,0,12.428571428571429,0.5714285714285714
2020-04-25,202017,154,9,9,1,11.857142857142858,0.5714285714285714
2020-04-26,202018,175,9,21,0,12.714285714285714,0.5714285714285714
2020-04-27,202018,211,11,36,2,17.0,0.8571428571428571
2020-04-28,202018,280,11,69,0,23.285714285714285,0.5714285714285714
2020-04-29,202018,280,11,0,0,23.142857142857142,0.5714285714285714
2020-04-30,202018,453,14,173,3,45.42857142857143,0.8571428571428571
2020-05-01,202018,517,14,64,0,53.142857142857146,0.8571428571428571
2020-05-02,202018,601,14,84,0,63.857142857142854,0.7142857142857143
2020-05-03,202019,730,14,129,0,79.28571428571429,0.7142857142857143
2020-05-04,202019,772,17,42,3,80.14285714285714,0.8571428571428571
2020-05-05,202019,898,21,126,4,88.28571428571429,1.4285714285714286
2020-05-06,202019,998,23,100,2,102.57142857142857,1.7142857142857142
2020-05-07,202019,1214,25,216,2,108.71428571428571,1.5714285714285714
2020-05-08,202019,1438,28,224,3,131.57142857142858,2.0
2020-05-09,202019,1588,33,150,5,141.0,2.7142857142857144
2020-05-10,202020,1771,34,183,1,148.71428571428572,2.857142857142857
2020-05-11,202020,1800,37,29,3,146.85714285714286,2.857142857142857
2020-05-12,202020,2032,37,232,0,162.0,2.2857142857142856
2020-05-13,202020,2268,42,236,5,181.42857142857142,2.7142857142857144
2020-05-14,202020,2494,47,226,5,182.85714285714286,3.142857142857143
2020-05-15,202020,2868,50,374,3,204.28571428571428,3.142857142857143
2020-05-16,202020,3135,53,267,3,221.0,2.857142857142857
2020-05-17,202021,3343,57,208,4,224.57142857142858,3.2857142857142856
2020-05-18,202021,3566,59,223,2,252.28571428571428,3.142857142857143
2020-05-19,202021,3967,63,401,4,276.42857142857144,3.7142857142857144
2020-05-20,202021,4277,69,310,6,287.0,3.857142857142857
2020-05-21,202021,4734,76,457,7,320.0,4.142857142857143
2020-05-22,202021,4922,82,188,6,293.42857142857144,4.571428571428571
2020-05-23,202021,5131,86,209,4,285.14285714285717,4.714285714285714
2020-05-24,202022,5314,93,183,7,281.57142857142856,5.142857142857143
2020-05-25,202022,5448,103,134,10,268.85714285714283,6.285714285714286
2020-05-26,202022,5735,116,287,13,252.57142857142858,7.571428571428571
2020-05-27,202022,5912,127,177,11,233.57142857142858,8.285714285714286
2020-05-28,202022,6156,135,244,8,203.14285714285714,8.428571428571429
2020-05-29,202022,6462,142,306,7,220.0,8.571428571428571
2020-05-30,202022,6805,149,343,7,239.14285714285714,9.0
2020-05-31,202023,6999,158,194,9,240.71428571428572,9.285714285714286
2020-06-01,202023,7233,166,234,8,255.0,9.0
2020-06-02,202023,7555,172,322,6,260.0,8.0
2020-06-03,202023,7989,180,434,8,296.7142857142857,7.571428571428571
2020-06-04,202023,8200,186,211,6,292.0,7.285714285714286
2020-06-05,202023,8577,198,377,12,302.14285714285717,8.0
2020-06-06,202023,8972,208,395,10,309.57142857142856,8.428571428571429
2020-06-07,202024,9290,217,318,9,327.2857142857143,8.428571428571429
2020-06-08,202024,9727,234,437,17,356.2857142857143,9.714285714285714
2020-06-09,202024,10126,252,399,18,367.2857142857143,11.428571428571429
2020-06-10,202024,10615,264,489,12,375.14285714285717,12.0
2020-06-11,202024,11056,283,441,19,408.0,13.857142857142858
2020-06-12,202024,11534,305,478,22,422.42857142857144,15.285714285714286
2020-06-13,202024,12866,316,1332,11,556.2857142857143,15.428571428571429
2020-06-14,202025,13968,330,1102,14,668.2857142857143,16.142857142857142
2020-06-15,202025,15675,352,1707,22,849.7142857142857,16.857142857142858
2020-06-16,202025,16310,364,635,12,883.4285714285714,16.0
2020-06-17,202025,16807,383,497,19,884.5714285714286,17.0
2020-06-18,202025,17338,400,531,17,897.4285714285714,16.714285714285715
2020-06-19,202025,17808,426,470,26,896.2857142857143,17.285714285714285
2020-06-20,202025,18449,448,641,22,797.5714285714286,18.857142857142858
2020-06-21,202026,18985,462,536,14,716.7142857142857,18.857142857142858
2020-06-22,202026,19384,491,399,29,529.8571428571429,19.857142857142858
2020-06-23,202026,19883,511,499,20,510.42857142857144,21.0
2020-06-24,202026,20353,524,470,13,506.57142857142856,20.142857142857142
2020-06-25,202026,21081,554,728,30,534.7142857142857,22.0
2020-06-26,202026,21908,579,827,25,585.7142857142857,21.857142857142858
2020-06-27,202026,23319,605,1411,26,695.7142857142857,22.428571428571427
2020-06-28,202027,24421,620,1102,15,776.5714285714286,22.571428571428573
2020-06-29,202027,24817,653,396,33,776.1428571428571,23.142857142857142
2020-06-30,202027,25411,676,594,23,789.7142857142857,23.571428571428573
2020-07-01,202027,26612,725,1201,49,894.1428571428571,28.714285714285715
2020-07-02,202027,26612,725,0,0,790.1428571428571,24.428571428571427
2020-07-03,202027,28186,764,1574,39,896.8571428571429,26.428571428571427
2020-07-04,202027,29761,783,1575,19,920.2857142857143,25.428571428571427
2020-07-05,202028,30217,798,456,15,828.0,25.428571428571427
2020-07-06,202028,30718,826,501,28,843.0,24.714285714285715
2020-07-07,202028,31640,851,922,25,889.8571428571429,25.0
2020-07-08,202028,32490,875,850,24,839.7142857142857,21.428571428571427
2020-07-09,202028,33416,901,926,26,972.0,25.142857142857142
2020-07-10,202028,34713,931,1297,30,932.4285714285714,23.857142857142858
2020-07-11,202028,36046,954,1333,23,897.8571428571429,24.428571428571427
2020-07-12,202029,37631,984,1585,30,1059.142857142857,26.571428571428573
2020-07-13,202029,38221,1012,590,28,1071.857142857143,26.571428571428573
2020-07-14,202029,39167,1033,946,21,1075.2857142857142,26.0
2020-07-15,202029,40139,1054,972,21,1092.7142857142858,25.571428571428573
2020-07-16,202029,41226,1071,1087,17,1115.7142857142858,24.285714285714285
2020-07-17,202029,41888,1088,662,17,1025.0,22.428571428571427
2020-07-18,202029,43072,1111,1184,23,1003.7142857142857,22.428571428571427
2020-07-19,202030,45243,1125,2171,14,1087.4285714285713,20.142857142857142
2020-07-20,202030,46059,1156,816,31,1119.7142857142858,20.571428571428573
2020-07-21,202030,47110,1182,1051,26,1134.7142857142858,21.285714285714285
2020-07-22,202030,48140,1211,1030,29,1143.0,22.428571428571427
2020-07-23,202030,49397,1247,1257,36,1167.2857142857142,25.142857142857142
2020-07-24,202030,51132,1284,1735,37,1320.5714285714287,28.0
2020-07-25,202030,52264,1303,1132,19,1313.142857142857,27.428571428571427
2020-07-26,202031,52603,1314,339,11,1051.4285714285713,27.0
2020-07-27,202031,53612,1340,1009,26,1079.0,26.285714285714285
2020-07-28,202031,55009,1359,1397,19,1128.4285714285713,25.285714285714285
2020-07-29,202031,56214,1390,1205,31,1153.4285714285713,25.571428571428573
2020-07-30,202031,57684,1408,1470,18,1183.857142857143,23.0
2020-07-31,202031,58713,1434,1029,26,1083.0,21.428571428571427
2020-08-01,202031,59724,1448,1011,14,1065.7142857142858,20.714285714285715
2020-08-02,202032,60035,1465,311,17,1061.7142857142858,21.571428571428573
2020-08-03,202032,60479,1489,444,24,981.0,21.285714285714285
2020-08-04,202032,61069,1509,590,20,865.7142857142857,21.428571428571427
2020-08-05,202032,61986,1525,917,16,824.5714285714286,19.285714285714285
2020-08-06,202032,63728,1558,1742,33,863.4285714285714,21.428571428571427
2020-08-07,202032,63728,1558,0,0,716.4285714285714,17.714285714285715
2020-08-08,202032,64271,1577,543,19,649.5714285714286,18.428571428571427
2020-08-09,202033,64693,1589,422,12,665.4285714285714,17.714285714285715
2020-08-10,202033,64974,1614,281,25,642.1428571428571,17.857142857142858
2020-08-11,202033,65455,1633,481,19,626.5714285714286,17.714285714285715
2020-08-12,202033,65865,1653,410,20,554.1428571428571,18.285714285714285
2020-08-13,202033,66810,1670,945,17,440.2857142857143,16.0
2020-08-14,202033,67225,1684,415,14,499.57142857142856,18.0
2020-08-15,202033,67701,1696,476,12,490.0,17.0
2020-08-16,202034,67997,1705,296,9,472.0,16.571428571428573
2020-08-17,202034,68313,1717,316,12,477.0,14.714285714285714
2020-08-18,202034,68699,1729,386,12,463.42857142857144,13.714285714285714
2020-08-19,202034,69067,1745,368,16,457.42857142857144,13.142857142857142
2020-08-20,202034,69502,1757,435,12,384.57142857142856,12.428571428571429
2020-08-21,202034,69845,1761,343,4,374.2857142857143,11.0
2020-08-22,202034,70252,1771,407,10,364.42857142857144,10.714285714285714
2020-08-23,202035,70472,1782,220,11,353.57142857142856,11.0
2020-08-24,202035,70606,1793,134,11,327.57142857142856,10.857142857142858
2020-08-25,202035,70926,1808,320,15,318.14285714285717,11.285714285714286
2020-08-26,202035,71222,1822,296,14,307.85714285714283,11.0
2020-08-27,202035,71599,1830,377,8,299.57142857142856,10.428571428571429
2020-08-28,202035,72039,1837,440,7,313.42857142857144,10.857142857142858
2020-08-29,202035,72280,1839,241,2,289.7142857142857,9.714285714285714
2020-08-30,202036,72417,1844,137,5,277.85714285714283,8.857142857142858
2020-08-31,202036,72528,1857,111,13,274.57142857142856,9.142857142857142
