id_municipio,id_municipio_6,id_municipio_tse,id_municipio_rf,id_municipio_bcb,nome,capital_uf,id_comarca,id_regiao_saude,regiao_saude,id_regiao_imediata,regiao_imediata,id_regiao_intermediaria,regiao_intermediaria,id_microrregiao,microrregiao,id_mesorregiao,mesorregiao,ddd,id_uf,sigla_uf,nome_uf,regiao
2800100,280010,31011,3101,25690,Amparo de São Francisco,0,2801603,28007,Propriá,280003,Propriá,2801,Aracaju,28007,Propriá,2803,Leste Sergipano,79,28,SE,Sergipe,Nordeste
2800209,280020,31038,3103,40008,Aquidabã,0,2800209,28007,Propriá,280003,Propriá,2801,Aracaju,28003,Nossa Senhora das Dores,2802,Agreste Sergipano,79,28,SE,Sergipe,Nordeste
2800308,280030,31054,3105,13530,Aracaju,1,2800308,28001,Aracaju,280001,Aracaju,2801,Aracaju,28011,Aracaju,2803,Leste Sergipano,79,28,SE,Sergipe,Nordeste
2800407,280040,31070,3107,26486,Arauá,0,2800407,28002,Estância,280002,Estância,2801,Aracaju,28012,Boquim,2803,Leste Sergipano,79,28,SE,Sergipe,Nordeste
2800506,280050,31097,3109,30960,Areia Branca,0,2803609,28003,Itabaiana,280004,Itabaiana,2802,Itabaiana,28004,Agreste de Itabaiana,2802,Agreste Sergipano,79,28,SE,Sergipe,Nordeste
2800605,280060,31119,3111,31880,Barra dos Coqueiros,0,2800605,28001,Aracaju,280001,Aracaju,2801,Aracaju,28011,Aracaju,2803,Leste Sergipano,79,28,SE,Sergipe,Nordeste
2800670,280067,31151,3115,30764,Boquim,0,2800670,28002,Estância,280002,Estância,2801,Aracaju,28012,Boquim,2803,Leste Sergipano,79,28,SE,Sergipe,Nordeste
2800704,280070,31135,3113,40015,Brejo Grande,0,2804904,28007,Propriá,280003,Propriá,2801,Aracaju,28007,Propriá,2803,Leste Sergipano,79,28,SE,Sergipe,Nordeste
2801009,280100,31194,3119,9960,Campo do Brito,0,2801009,28003,Itabaiana,280004,Itabaiana,2802,Itabaiana,28004,Agreste de Itabaiana,2802,Agreste Sergipano,79,28,SE,Sergipe,Nordeste
2801108,280110,31216,3121,14261,Canhoba,0,2802403,28007,Propriá,280003,Propriá,2801,Aracaju,28007,Propriá,2803,Leste Sergipano,79,28,SE,Sergipe,Nordeste
2801207,280120,31232,3123,18652,Canindé de São Francisco,0,2801207,28005,Nossa Senhora da Glória,280006,Nossa Senhora da Glória,2802,Itabaiana,28001,Sergipana do Sertão do São Francisco,2801,Sertão Sergipano,79,28,SE,Sergipe,Nordeste
2801306,280130,31259,3125,23283,Capela,0,2801306,28006,Nossa Senhora do Socorro,280001,Aracaju,2801,Aracaju,28008,Cotinguiba,2803,Leste Sergipano,79,28,SE,Sergipe,Nordeste
2801405,280140,31275,3127,27739,Carira,0,2801405,28003,Itabaiana,280004,Itabaiana,2802,Itabaiana,28002,Carira,2801,Sertão Sergipano,79,28,SE,Sergipe,Nordeste
2801504,280150,31291,3129,32236,Carmópolis,0,2801504,28006,Nossa Senhora do Socorro,280001,Aracaju,2801,Aracaju,28010,Baixo Cotinguiba,2803,Leste Sergipano,79,28,SE,Sergipe,Nordeste
2801603,280160,31313,3131,38175,Cedro de São João,0,2801603,28007,Propriá,280003,Propriá,2801,Aracaju,28007,Propriá,2803,Leste Sergipano,79,28,SE,Sergipe,Nordeste
2801702,280170,31330,3133,4202,Cristinápolis,0,2801702,28002,Estância,280002,Estância,2801,Aracaju,28012,Boquim,2803,Leste Sergipano,79,28,SE,Sergipe,Nordeste
2801900,280190,31372,3137,13822,Cumbe,0,2804607,28006,Nossa Senhora do Socorro,280001,Aracaju,2801,Aracaju,28003,Nossa Senhora das Dores,2802,Agreste Sergipano,79,28,SE,Sergipe,Nordeste
2802007,280200,31399,3139,16410,Divina Pastora,0,2805901,28001,Aracaju,280001,Aracaju,2801,Aracaju,28008,Cotinguiba,2803,Leste Sergipano,79,28,SE,Sergipe,Nordeste
2802106,280210,31410,3141,22497,Estância,0,2802106,28002,Estância,280002,Estância,2801,Aracaju,28013,Estância,2803,Leste Sergipano,79,28,SE,Sergipe,Nordeste
