data,codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
2021-02-03,2800100,Amparo de São Francisco,0,0,0,0,32,0,0,0
2021-02-03,2800209,Aquidabã,0,0,0,0,221,0,0,0
2021-02-03,2800308,Aracaju,0,0,0,0,8908,0,0,0
2021-02-03,2800407,Arauá,0,0,0,0,72,0,0,0
2021-02-03,2800506,Areia Branca,0,0,0,0,151,0,0,0
2021-02-03,2800605,Barra dos Coqueiros,0,0,0,0,271,0,0,0
2021-02-03,2800670,Boquim,0,0,0,0,295,0,0,0
2021-02-03,2800704,Brejo Grande,0,0,0,0,42,0,0,0
2021-02-03,2801009,Campo do Brito,0,0,0,0,188,0,0,0
2021-02-03,2801108,Canhoba,0,0,0,0,28,0,0,0
2021-02-03,2801207,Canindé de São Francisco,0,0,0,0,195,0,0,0
2021-02-03,2801306,Capela,0,0,0,0,347,0,0,0
2021-02-03,2801405,Carira,0,0,0,0,100,0,0,0
2021-02-03,2801504,Carmópolis,0,0,0,0,124,0,0,0
2021-02-03,2801603,Cedro de São João,0,0,0,0,97,0,0,0
2021-02-03,2801702,Cristinápolis,0,0,0,0,177,0,0,0
2021-02-03,2801900,Cumbe,0,0,0,0,54,0,0,0
2021-02-03,2802007,Divina Pastora,0,0,0,0,84,0,0,0
2021-02-03,2802106,Estância,0,0,0,0,578,0,0,0
2021-02-03,2802205,Feira Nova,0,0,0,0,48,0,0,0
2021-02-03,2802304,Frei Paulo,0,0,0,0,145,0,0,0
2021-02-03,2802403,Gararu,0,0,0,0,65,0,0,0
2021-02-03,2802502,General Maynard,0,0,0,0,73,0,0,0
2021-02-03,2802601,Gracho Cardoso,0,0,0,0,58,0,0,0
2021-02-03,2802700,Ilha das Flores,0,0,0,0,60,0,0,0
2021-02-03,2802809,Indiaroba,0,0,0,0,128,0,0,0
2021-02-03,2802908,Itabaiana,0,0,0,0,1232,0,0,0
2021-02-03,2803005,Itabaianinha,0,0,0,0,305,0,0,0
2021-02-03,2803104,Itabi,0,0,0,0,42,0,0,0
2021-02-03,2803203,Itaporanga d'Ajuda,0,0,0,0,296,0,0,0
2021-02-03,2803302,Japaratuba,0,0,0,0,177,0,0,0
2021-02-03,2803401,Japoatã,0,0,0,0,102,0,0,0
2021-02-03,2803500,Lagarto,0,0,0,0,1422,0,0,0
2021-02-03,2803609,Laranjeiras,0,0,0,0,169,0,0,0
