codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco,aplicadas_dose_reforco2
2800100,Amparo de São Francisco,2255,2177,30,752,2033,1948,30,727,0
2800209,Aquidabã,19796,18485,210,6214,17782,16029,212,8634,421
2800308,Aracaju,617927,590907,12715,303195,566020,509333,12911,302634,18372
2800407,Arauá,9040,8906,100,4856,9570,8401,102,4358,221
2800506,Areia Branca,16496,16171,185,7201,16431,15350,198,7321,242
2800605,Barra dos Coqueiros,26771,27425,845,15166,27456,23671,967,12530,573
2800670,Boquim,24448,23027,255,11721,21854,20250,252,11580,651
2800704,Brejo Grande,7405,7226,75,2090,7250,6382,75,2577,1
2801009,Campo do Brito,16627,17326,175,6771,15745,13753,175,7647,524
2801108,Canhoba,3666,3713,40,1675,3488,3033,40,1479,13
2801207,Canindé de São Francisco,26334,24179,275,11050,25143,22012,275,9490,291
2801306,Capela,31913,29477,315,12147,32099,28153,357,12392,653
2801405,Carira,19091,19429,195,10209,18435,16089,194,8564,436
2801504,Carmópolis,14082,13700,155,4719,12718,11471,155,4629,169
2801603,Cedro de São João,5215,5119,60,2571,4839,4478,60,2327,184
2801702,Cristinápolis,15769,16069,165,6280,15331,13622,165,5117,52
2801900,Cumbe,3807,3640,45,1632,3558,3279,45,1560,147
2802007,Divina Pastora,4518,4463,50,1879,4111,3999,50,2389,81
2802106,Estância,61018,59331,2500,25293,56408,52621,2510,26438,1220
2802205,Feira Nova,5285,5452,55,2661,5116,4525,57,2005,8
2802304,Frei Paulo,13567,13385,150,5393,13567,12569,150,5615,188
2802403,Gararu,10190,10407,120,4625,9940,9023,115,5135,295
2802502,General Maynard,3002,2815,35,1725,2688,2596,35,1812,129
2802601,Gracho Cardoso,5317,5281,65,2958,5672,5057,71,2687,158
2802700,Ilha das Flores,7602,7327,80,3026,7176,6120,80,3064,182
2802809,Indiaroba,15515,15594,145,4973,14833,14022,147,5675,269
2802908,Itabaiana,84026,78811,2400,47405,86973,76630,2519,43673,2127
2803005,Itabaianinha,36845,36527,370,9782,33592,28932,370,10700,267
2803104,Itabi,4604,4565,55,1993,4479,4063,56,2031,212
2803203,Itaporanga d'Ajuda,30646,32107,330,11137,30489,28214,330,14053,140
2803302,Japaratuba,15882,15922,175,6688,14905,13865,175,8615,534
2803401,Japoatã,11743,11703,135,6209,12242,10120,154,5601,184
2803500,Lagarto,92654,92856,2500,37357,89379,79431,2510,39050,1286
2803609,Laranjeiras,26613,27176,490,10608,25860,22430,502,12587,175
