codigo_municipio,nome_municipio,total_dose1,total_dose2,total_dose_unica,total_dose_reforco
0,Amparo de São Francisco,42,0,0,0
0,Aquidabã,241,0,0,0
0,Aracaju,11141,121,0,0
0,Arauá,82,0,0,0
0,Areia Branca,201,0,0,0
0,Barra dos Coqueiros,357,0,0,0
0,Boquim,407,0,0,0
0,Brejo Grande,52,0,0,0
0,Campo do Brito,198,0,0,0
0,Canhoba,30,0,0,0
0,Canindé de São Francisco,215,0,0,0
0,Capela,426,0,0,0
0,Carira,165,0,0,0
0,Carmópolis,156,0,0,0
0,Cedro de São João,98,0,0,0
0,Cristinápolis,196,10,0,0
0,Cumbe,59,7,0,0
0,Divina Pastora,96,3,0,0
0,Estância,695,0,0,0
0,Feira Nova,50,1,0,0
0,Frei Paulo,145,0,0,0
0,Gararu,83,0,0,0
0,General Maynard,75,0,0,0
0,Gracho Cardoso,58,0,0,0
0,Ilha das Flores,77,0,0,0
0,Indiaroba,139,0,0,0
0,Itabaiana,1537,1,0,0
0,Itabaianinha,403,0,0,0
0,Itabi,57,2,0,0
0,Itaporanga d'Ajuda,376,16,0,0
0,Japaratuba,197,0,0,0
0,Japoatã,124,0,0,0
0,Lagarto,2142,0,0,0
0,Laranjeiras,224,0,0,0
0,Macambira,60,0,0,0
0,Malhada dos Bois,50,0,0,0
0,Malhador,103,0,0,0
0,Maruim,173,0,0,0
0,Moita Bonita,99,0,0,0
0,Monte Alegre de Sergipe,129,0,0,0
0,Muribeca,71,0,0,0
0,Neópolis,193,0,0,0
0,Nossa Senhora Aparecida,112,0,0,0
0,Nossa Senhora da Glória,381,0,0,0
0,Nossa Senhora das Dores,353,0,0,0
0,Nossa Senhora de Lourdes,71,0,0,0
0,Nossa Senhora do Socorro,1283,28,0,0
0,Pacatuba,106,0,0,0
0,Pedra Mole,36,0,0,0
0,Pedrinhas,72,0,0,0
0,Pinhão,63,0,0,0
0,Pirambu,122,0,0,0
0,Poço Redondo,326,0,0,0
0,Poço Verde,221,3,0,0
0,Porto da Folha,508,5,0,0
0,Propriá,543,0,0,0
0,Riachão do Dantas,257,0,0,0
0,Riachuelo,184,0,0,0
0,Ribeirópolis,283,0,0,0
0,Rosário do Catete,171,1,0,0
0,Salgado,178,2,0,0
0,Santa Luzia do Itanhy,94,0,0,0
0,Santana do São Francisco,71,0,0,0
0,Santa Rosa de Lima,10,1,0,0
0,Santo Amaro das Brotas,127,0,0,0
0,São Cristóvão,728,0,0,0
0,São Domingos,70,5,0,0
0,São Francisco,46,0,0,0
0,São Miguel do Aleixo,69,0,0,0
0,Simão Dias,382,0,0,0
0,Siriri,102,22,0,0
0,Telha,69,0,0,0
0,Tobias Barreto,744,45,0,0
0,Tomar do Geru,107,0,0,0
0,Umbaúba,206,0,0,0
