codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
280010,Amparo de São Francisco,502,202,0,0,402,155,0,0
280020,Aquidabã,3174,1934,0,0,2632,948,0,0
280030,Aracaju,102570,53660,0,0,102872,29610,0,0
280040,Arauá,1172,791,0,0,1060,447,0,0
280050,Areia Branca,1971,1321,0,0,1548,813,0,0
280060,Barra dos Coqueiros,3395,2115,0,0,2860,1191,0,0
280067,Boquim,3816,2656,0,0,3090,1586,0,0
280070,Brejo Grande,1758,438,0,0,1128,254,0,0
280100,Campo do Brito,2464,1894,0,0,2051,1276,0,0
280110,Canhoba,498,338,0,0,412,161,0,0
280120,Canindé de São Francisco,2765,1675,0,0,2217,1232,0,0
280130,Capela,4643,2023,0,0,3798,1216,0,0
280140,Carira,2872,2212,0,0,2160,991,0,0
280150,Carmópolis,1291,831,0,0,1010,467,0,0
280160,Cedro de São João,907,617,0,0,804,299,0,0
280170,Cristinápolis,1817,1317,0,0,1586,767,0,0
280190,Cumbe,844,414,0,0,673,290,0,0
280200,Divina Pastora,587,397,0,0,506,286,0,0
280210,Estância,9538,4528,0,0,7844,3101,0,0
280220,Feira Nova,693,513,0,0,570,248,0,0
280230,Frei Paulo,2075,1455,0,0,2008,1010,0,0
280240,Gararu,1343,1033,0,0,1208,629,0,0
280250,General Maynard,433,293,0,0,379,215,0,0
280260,Gracho Cardoso,913,683,0,0,770,390,0,0
280270,Ilha das Flores,1281,591,0,0,1062,369,0,0
280280,Indiaroba,1712,1042,0,0,1446,422,0,0
280290,Itabaiana,12067,8117,0,0,10772,4987,0,0
280300,Itabaianinha,4271,2971,0,0,3568,1402,0,0
280310,Itabi,812,613,0,0,646,403,0,0
280320,Itaporanga d'Ajuda,3486,2396,0,0,3064,1359,0,0
280330,Japaratuba,2789,1689,0,0,1989,913,0,0
280340,Japoatã,2164,1024,0,0,1805,407,0,0
280350,Lagarto,16790,10890,0,0,13858,5419,0,0
280360,Laranjeiras,5695,1795,0,0,4307,1001,0,0
280370,Macambira,1024,794,0,0,977,503,0,0
280380,Malhada dos Bois,427,307,0,0,291,141,0,0
280390,Malhador,1461,1061,0,0,1199,675,0,0
280400,Maruim,1661,1211,0,0,1469,769,0,0
280410,Moita Bonita,1795,1405,0,0,1652,908,0,0
280420,Monte Alegre de Sergipe,1448,1084,0,0,1393,613,0,0
280430,Muribeca,891,581,0,0,834,286,0,0
280440,Neópolis,2475,1645,0,0,1987,908,0,0
280445,Nossa Senhora Aparecida,1420,1000,0,0,1301,728,0,0
280450,Nossa Senhora da Glória,4171,2581,0,0,3592,2015,0,0
280460,Nossa Senhora das Dores,3378,2558,0,0,2625,1461,0,0
280470,Nossa Senhora de Lourdes,887,608,0,0,717,349,0,0
280480,Nossa Senhora do Socorro,15815,11215,0,0,13142,5227,0,0
280490,Pacatuba,1469,949,0,0,1233,651,0,0
280500,Pedra Mole,429,319,0,0,367,244,0,0
280510,Pedrinhas,1053,683,0,0,903,238,0,0
280520,Pinhão,960,731,0,0,829,445,0,0
280530,Pirambu,1295,815,0,0,1114,476,0,0
280540,Poço Redondo,3796,2656,0,0,3384,1135,0,0
280550,Poço Verde,3711,2411,0,0,3310,1425,0,0
280560,Porto da Folha,3826,2417,0,0,3418,1831,0,0
280570,Propriá,3749,2019,0,0,3213,1490,0,0
280580,Riachão do Dantas,2843,1733,0,0,2448,1066,0,0
280590,Riachuelo,1315,764,0,0,1127,439,0,0
280600,Ribeirópolis,2723,2123,0,0,2532,1470,0,0
280610,Rosário do Catete,1124,824,0,0,901,562,0,0
280620,Salgado,2427,1867,0,0,2139,1344,0,0
280630,Santa Luzia do Itanhy,4066,855,0,0,2592,375,0,0
280650,Santa Rosa de Lima,692,452,0,0,621,300,0,0
280640,Santana do São Francisco,572,393,0,0,519,281,0,0
280660,Santo Amaro das Brotas,1363,1023,0,0,1403,479,0,0
280670,São Cristóvão,8992,5802,0,0,7071,2144,0,0
280680,São Domingos,1456,1106,0,0,1292,781,0,0
280690,São Francisco,468,308,0,0,387,158,0,0
280700,São Miguel do Aleixo,569,439,0,0,524,299,0,0
280710,Simão Dias,5770,3700,0,0,4557,1685,0,0
280720,Siriri,1263,803,0,0,991,570,0,0
280730,Telha,409,279,0,0,345,196,0,0
280740,Tobias Barreto,7027,4687,0,0,6007,2639,0,0
280750,Tomar do Geru,1406,926,0,0,1194,380,0,0
280760,Umbaúba,2648,1748,0,0,2163,423,0,0
